Freq [GHz],"dB(S(2,2)) []"
1,-0.685292582
1.015,-0.696968353
1.03,-0.708424419
1.045,-0.719639289
1.06,-0.730592138
1.075,-0.741262905
1.09,-0.751632386
1.105,-0.761682333
1.12,-0.771395535
1.135,-0.780755903
1.15,-0.789748547
1.165,-0.798359838
1.18,-0.806577468
1.195,-0.8143905
1.21,-0.821789408
1.225,-0.828766104
1.24,-0.835313961
1.255,-0.841427818
1.27,-0.847103983
1.285,-0.85234022
1.3,-0.857135729
1.315,-0.86149112
1.33,-0.865408372
1.345,-0.868890788
1.36,-0.871942946
1.375,-0.874570639
1.39,-0.87678081
1.405,-0.87858149
1.42,-0.87998172
1.435,-0.880991484
1.45,-0.88162163
1.465,-0.881883795
1.48,-0.881790331
1.495,-0.881354228
1.51,-0.880589044
1.525,-0.879508831
1.54,-0.87812807
1.555,-0.876461603
1.57,-0.874524576
1.585,-0.872332382
1.6,-0.869900608
1.615,-0.86724499
1.63,-0.864381372
1.645,-0.861325669
1.66,-0.85809384
1.675,-0.854701861
1.69,-0.85116571
1.705,-0.847501352
1.72,-0.843724738
1.735,-0.839851803
1.75,-0.835898477
1.765,-0.831880697
1.78,-0.827814432
1.795,-0.823715713
1.81,-0.81960067
1.825,-0.81548558
1.84,-0.811386924
1.855,-0.807321452
1.87,-0.803306262
1.885,-0.799358891
1.9,-0.795497422
1.915,-0.791740599
1.93,-0.788107972
1.945,-0.784620056
1.96,-0.781298513
1.975,-0.77816637
1.99,-0.775248263
2.005,-0.772570725
2.02,-0.77016252
2.035,-0.768055033
2.05,-0.766282726
2.065,-0.764883677
2.08,-0.763900217
2.095,-0.763379686
2.11,-0.763375331
2.125,-0.76394739
2.14,-0.765164393
2.155,-0.767104738
2.17,-0.769858613
2.185,-0.773530348
2.2,-0.778241317
2.215,-0.784133529
2.23,-0.791374128
2.245,-0.800161033
2.26,-0.810730095
2.275,-0.823364231
2.29,-0.838405189
2.305,-0.856268824
2.32,-0.877465133
2.335,-0.902624793
2.35,-0.932534695
2.365,-0.968186055
2.38,-1.010840385
2.395,-1.062121117
2.41,-1.124142676
2.425,-1.199695054
2.44,-1.292512007
2.455,-1.407667545
2.47,-1.552172888
2.485,-1.735892997
2.5,-1.972983421
2.515,-2.284194156
2.53,-2.700657364
2.545,-3.270303864
2.56,-4.069184778
2.575,-5.222793415
2.59,-6.951147842
2.605,-9.685112755
2.62,-14.45900553
2.635,-22.42270024
2.65,-15.75334355
2.665,-10.3784452
2.68,-7.377556594
2.695,-5.503041193
2.71,-4.258234442
2.725,-3.397537948
2.74,-2.783305142
2.755,-2.332967987
2.77,-1.99483359
2.785,-1.735487262
2.8,-1.53274073
2.815,-1.371503107
2.83,-1.241284087
2.845,-1.134643813
2.86,-1.046207727
2.875,-0.972026931
2.89,-0.909154496
2.905,-0.855359521
2.92,-0.808930776
2.935,-0.768539625
2.95,-0.733142883
2.965,-0.701912975
2.98,-0.674187066
2.995,-0.649429532
3.01,-0.627203967
3.025,-0.607152066
3.04,-0.588977537
3.055,-0.572433727
3.07,-0.557314016
3.085,-0.543444305
3.1,-0.530677091
3.115,-0.518886752
3.13,-0.507965786
3.145,-0.497821769
3.16,-0.488374902
3.175,-0.479556002
3.19,-0.471304858
3.205,-0.46356888
3.22,-0.456301973
3.235,-0.449463605
3.25,-0.443018024
3.265,-0.436933608
3.28,-0.431182306
3.295,-0.425739172
3.31,-0.420581968
3.325,-0.415690828
3.34,-0.411047961
3.355,-0.406637407
3.37,-0.402444824
3.385,-0.398457296
3.4,-0.39466318
3.415,-0.391051962
3.43,-0.38761414
3.445,-0.384341112
3.46,-0.381225089
3.475,-0.378259011
3.49,-0.375436478
3.505,-0.372751683
3.52,-0.370199361
3.535,-0.367774738
3.55,-0.365473489
3.565,-0.363291697
3.58,-0.361225823
3.595,-0.359272671
3.61,-0.357429367
3.625,-0.35569333
3.64,-0.354062253
3.655,-0.352534086
3.67,-0.351107015
3.685,-0.349779451
3.7,-0.348550017
3.715,-0.347417531
3.73,-0.346381003
3.745,-0.345439622
3.76,-0.344592747
3.775,-0.343839905
3.79,-0.343180779
3.805,-0.342615209
3.82,-0.342143182
3.835,-0.341764835
3.85,-0.341480447
3.865,-0.341290439
3.88,-0.341195372
3.895,-0.341195949
3.91,-0.341293012
3.925,-0.341487543
3.94,-0.341780666
3.955,-0.342173649
3.97,-0.342667903
3.985,-0.34326499
4,-0.343966623
4.015,-0.344774671
4.03,-0.345691164
4.045,-0.346718299
4.06,-0.347858443
4.075,-0.349114145
4.09,-0.350488138
4.105,-0.351983354
4.12,-0.353602926
4.135,-0.355350204
4.15,-0.357228765
4.165,-0.359242425
4.18,-0.361395251
4.195,-0.363691581
