MS46322A
!12/11/2019.11:53:56.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
1	1.000000000	-6.302444E-001	1.000000000	-1.096514E+002	1.000000000	-1.101268E+002	1.000000000	1.315251E-001
2	1.015000000	-2.008426E+000	1.015000000	-1.048508E+002	1.015000000	-1.012855E+002	1.015000000	9.529591E-002
3	1.030000000	-3.251060E+000	1.030000000	-9.791917E+001	1.030000000	-1.027526E+002	1.030000000	9.254738E-002
4	1.045000000	-4.252053E+000	1.045000000	-1.034845E+002	1.045000000	-1.071893E+002	1.045000000	1.132566E-001
5	1.060000000	-5.412895E+000	1.060000000	-9.805531E+001	1.060000000	-1.012337E+002	1.060000000	1.527830E-001
6	1.075000000	-5.036259E+000	1.075000000	-1.038187E+002	1.075000000	-1.099917E+002	1.075000000	2.055962E-001
7	1.090000000	-3.327705E+000	1.090000000	-1.008868E+002	1.090000000	-1.091172E+002	1.090000000	2.667622E-001
8	1.105000000	-2.088521E+000	1.105000000	-9.613151E+001	1.105000000	-1.058788E+002	1.105000000	2.976307E-001
9	1.120000000	-1.081522E+000	1.120000000	-9.940674E+001	1.120000000	-9.773439E+001	1.120000000	3.321505E-001
10	1.135000000	-3.354111E-001	1.135000000	-1.091990E+002	1.135000000	-1.086650E+002	1.135000000	3.588654E-001
11	1.150000000	-1.980268E-001	1.150000000	-9.327103E+001	1.150000000	-9.511857E+001	1.150000000	3.547031E-001
12	1.165000000	-3.018743E-001	1.165000000	-9.448254E+001	1.165000000	-1.052496E+002	1.165000000	3.188852E-001
13	1.180000000	-6.260899E-001	1.180000000	-1.022164E+002	1.180000000	-1.002708E+002	1.180000000	2.643086E-001
14	1.195000000	-1.401202E+000	1.195000000	-9.967378E+001	1.195000000	-1.012846E+002	1.195000000	1.865226E-001
15	1.210000000	-1.639181E+000	1.210000000	-1.031021E+002	1.210000000	-1.098469E+002	1.210000000	8.814812E-002
16	1.225000000	-2.193667E+000	1.225000000	-1.042696E+002	1.225000000	-9.707245E+001	1.225000000	-2.294447E-002
17	1.240000000	-2.961022E+000	1.240000000	-9.557556E+001	1.240000000	-1.005939E+002	1.240000000	-1.548434E-001
18	1.255000000	-3.119154E+000	1.255000000	-9.005104E+001	1.255000000	-8.993484E+001	1.255000000	-2.653697E-001
19	1.270000000	-2.586548E+000	1.270000000	-9.256021E+001	1.270000000	-9.644944E+001	1.270000000	-3.642789E-001
20	1.285000000	-1.575037E+000	1.285000000	-9.490199E+001	1.285000000	-1.039382E+002	1.285000000	-4.666792E-001
